"id","category","name","quantity","buy_price","current_price","value","meta_data"
"1","DSE","CRDB","1744","678","2320","4046080","/crdb.png"
"2","DSE","NICO","720","774","3350","2412000","/nico.webp"
"3","DSE","NMB","100","5100","11110","1111000","/nmb.jpeg"
"4","DSE","DCB","180","166","350","63000","/dcb.jpeg"
"5","DSE","MBP","20","350","1240","24800","/mkb.png"
"6","DSE","PAL","10","360","310","3100","/precision.jpg"
"7","UTT","Umoja Unit Trust","1","10000","10000","10000","191558920"
"8","UTT","Wekeza Maisha","1","10000","10000","10000","200146813"
"9","UTT","Watoto Fund","1","10000","10000","10000","300222246"
"10","UTT","Jikimu Fund","1","10000","10000","10000","400165074"
"11","UTT","Liquid Fund","1","10000","10000","10000","501044095"
"12","UTT","Bond Fund","1","10000","10000","10000","600374330"
"13","Land","Arusha (Nambala)","740","16891","16891","12499340","Sqm"
"14","Land","Arusha (Nganana)","800","11875","11875","9500000","Sqm"
"15","Land","Mabwepande","800","23750","23750","19000000","Sqm"
"16","Land","Kinondoni Shamba","357","54621","54621","19499697","Sqm"
"17","Vehicles","BMW X3","1","43800000","43800000","43800000","Premium Insured"
"18","Vehicles","BMW 1 Series","1","16000000","16000000","16000000","Premium Insured"
"19","Vehicles","Toyota Chaser","1","3000000","3000000","3000000","3rd Party Insured"
